,0
1235,TRIM28
1236,ATM
1237,WDR82
1238,PAK4
1239,HIST2H2AA3
1240,DNMT3B
1241,MAPK13
1242,TOP2A
1243,NUP88
1244,SASS6
1245,CSNK1E
1246,PAFAH1B1
1247,NUP188
1248,IPO13
1249,SREK1
1250,RAD21
1251,UL27
1252,RUNX1
1253,CBFB
1254,POU5F1
1255,RAPGEF3
1256,IPO11
1257,BCAR1
1258,BAD
1259,WWTR1
1260,TFAP4
1261,CUL2
1262,MAPKAPK3
1263,MPH1
1264,MAD2L2
1265,PCGF6
1266,KIF13B
1267,NXT1
1268,NCAM1
1269,RBL1
1270,SYK
1271,DDX1
1272,SF3A3
1273,CHMP2A
1274,SRSF10
1275,EXOSC2
1276,MDC1
1277,RPL7
1278,SF3B4
1279,PRPF38A
1280,CSNK2B
1281,PRKAR1A
1282,PSE1
1283,CTDP1
1284,CHUK
1285,TNFRSF1A
1286,PTMA
1287,PCGF3
1288,TRIM27
1289,MAOB
1290,PEX19
1291,YWHAE
1292,HECW2
1293,ALDH7A1
1294,ASNS
1295,STK24
1296,TBCB
1297,RRM1
1298,WWOX
1299,ASB2
1300,ASB16
1301,ASB18
1302,MSL1
1303,HIST3H3
1304,TYK2
1305,LUZP4
1306,PPP1R1A
1307,DEC1
1308,CLOCK
1309,PPP1R7
1310,GPN3
1311,WDR92
1312,RASSF9
1313,EIF3I
1314,KPNA1
1315,SKIV2L
1316,LMNB1
1317,LRRK2
1318,TMEM194
1319,AT1G28760
1320,MLLT1
1321,CEP135
1322,CEP19
1323,PPME1
1324,CAPZA2
1325,DBN1
1326,MYH9
1327,MYO1C
1328,SYNPO
1329,ASF1A
1330,LIMA1
1331,MYO5C
1332,MYO19
1333,PARD6B
1334,MYO18A
1335,PAX6
1336,KIF1C
1337,KIF3A
1338,CCDC88A
1339,NUP107
1340,CEP170P1
1341,HNRNPD
1342,CALML3
1343,IMMT
1344,NUP98
1345,RRBP1
1346,NCAPH
1347,GTF3C4
1348,MYCBP2
1349,CHAF1A
1350,UBXN2A
1351,PCGF1
1352,DLG4
1353,EIF2S2
1354,CRM1
1355,CDH1
1356,AKIRIN2
1357,PCGF2
1358,PPP1R16B
1359,SFTPC
1360,DEFA5
1361,FGF8
1362,RPS14
1363,RANGAP
1364,SAV
1365,MER
1366,EX
1367,VTD
1368,TIM
1369,HPO
1370,CNO
1371,SFRP2
1372,PQBP1
1373,DCAF7
1374,AGAP2
1375,DLGAP1
1376,FMR1
1377,NCL
1378,TNIK
1379,TSC1
1380,COX15
1381,FOXA1
1382,RNF157
1383,UHRF2
1384,TES
1385,ORF23
1386,PARP10
1387,PARP14
1388,BRAF
1389,LNX1
1390,ING3
1391,H3F3A
1392,ADSS
1393,ARNT
1394,BMPR1A
1395,MAP2K1
1396,PCBP1
1397,E6
1398,UBE2M
1399,RPTOR
1400,SHARPIN
1401,TNF
1402,GNB1
1403,UBE2D2
1404,USP8
1405,PGR
1406,UBE3A
1407,ASXL1
1408,USP22
1409,DPF2
1410,TNRC6A
1411,REST
1412,PRKAB1
1413,WDFY4
1414,DCAF13
1415,ZC3H7A
1416,PHB2
1417,BACH1
1418,UCHL3
1419,ZBTB10
1420,CTCF
1421,ZDHHC18
1422,ZDHHC23
1423,RNF144A
1424,BMH1
1425,BMH2
1426,VRK3
1427,MAP3K14
1428,SCARB2
1429,VMP1
1430,PTPN6
1431,ARAF
1432,PGRMC1
1433,RGS14
1434,ARF3
1435,PRKACA
1436,NACA
1437,DFNB31
1438,PPP1R2P9
1439,HSF2BP
1440,IL1R2
1441,DUSP4
1442,GAB2
1443,LCK
1444,PRKD1
1445,VAV1
1446,SPAG7
1447,HSPD1
1448,IGSF3
1449,NSP1
1450,NSP3
1451,MYCN
1452,NCBP2
1453,LRRC31
1454,NMRAL1
1455,CASC9
1456,CAMK2A
1457,C18ORF8
1458,SLC6A4
1459,CBX5
1460,CBX1
1461,BKRF1
1462,MYB
1463,DNAJC2
1464,DNAJC8
1465,PCGF5
1466,FBRS
1467,SKP1
1468,BCORL1
1469,NELFCD
1470,RBMX
1471,PROSC
1472,KDF1
1473,MARCH6
1474,NSP2
1475,RPL31
1476,SKA3
1477,ATG3
1478,HTRA4
1479,NUDCD2
1480,VPS33A
1481,RBM34
1482,FYTTD1
1483,C19ORF26
1484,NSA2
1485,ZBTB48
1486,NOC2L
1487,MRPS35
1488,RPL4
1489,NOL12
1490,PNMA2
1491,SLBP
1492,RPS3A
1493,C1ORF189
1494,ZNF653
1495,AKR7L
1496,MRFAP1L1
1497,LARP1B
1498,RBMX2
1499,RBM7
1500,ABT1
1501,FHL2
1502,PURG
1503,MRPS18C
1504,ZC3H14
1505,NIFK
1506,ZC3H8
1507,RPL26L1
1508,NOP16
1509,FBLN5
1510,CD6
1511,THRAP3
1512,H2AFB2
1513,HDGFRP2
1514,RPL28
1515,RPL19
1516,RPS2
1517,RPS13
1518,RBM28
1519,ZNF22
1520,TFPT
1521,ZFC3H1
1522,RPL10A
1523,MRPL52
1524,APOBEC3D
1525,RALY
1526,DAP3
1527,GLTSCR2
1528,DTX3
1529,LPAR1
1530,PNO1
1531,EIF2S1
1532,NLRP7
1533,ORF8
1534,NSP8
1535,ORF10
1536,SQSTM1
1537,KLF9
1538,TAGLN
1539,MCRS1
1540,ASB3
1541,USF2
1542,PAK7
1543,MAGED1
1544,NCOA6
1545,SRC
1546,DNTTIP2
1547,SMARCE1
1548,STAT5A
1549,RBFOX2
1550,CIB1
1551,NCOA3
1552,DDX54
1553,NR2C2AP
1554,NR0B2
1555,RECQL5
1556,USP49
1557,WDR48
1558,GTF2E2
1559,PMS2
1560,PMS1
1561,PAIP2
1562,ANKRD2
1563,MYOD1
1564,APC
1565,CEBPD
1566,NCOR2
1567,TOPORS
1568,SATB1
1569,PPP2R2B
1570,NCOA2
1571,UBXN7
1572,UBXN1
1573,DYRK2
1574,DDB1
1575,VPRBP
1576,KATNA1
1577,BUB1
1578,BUB1B
1579,CEP78
1580,EBNA-LP
1581,PCK1
1582,VHL
1583,CD2AP
1584,KAT5
1585,ITSN2
1586,NR2C1
1587,MTA1
1588,KDM1A
1589,IGBP1
